N,Iteration,Molecule,LowestRMSD
1,1,mol65,4.535512866647983
1,1,mol66,1.138380524077955
1,1,mol67,5.657499051933777
1,1,mol68,4.9412038017355355
1,1,mol69,2.769442429589539
1,1,mol70,3.067838151160241
1,1,mol71,1.3643895981091951
1,1,mol72,5.02997329725627
1,1,mol73,1.5792324291606037
1,1,mol74,0.7237727692242837
1,1,mol75,6.371958992449922
1,1,mol76,0.661977644500312
1,1,mol77,2.7622036810774064
1,1,mol79,0.8520230478103276
1,1,mol80,6.324863841267369
1,1,mol81,0.889051773681215
1,1,mol82,4.074683721251907
1,1,mol83,1.081034505267499
1,1,mol84,6.247521612379013
1,1,mol85,0.871616773081867
1,1,mol86,1.3414766703152166
1,1,mol87,0.6455235504693273
1,1,mol88,5.421514760885559
1,1,mol89,1.009303207663584
1,1,mol90,0.7387518446279348
1,1,mol91,5.189614726235919
1,1,mol92,1.6851645844446965
1,1,mol93,0.5352249381101369
1,1,mol94,4.046357835380411
1,1,mol95,5.83757537161027
1,1,mol96,1.4908143086002603
1,2,mol0,6.253898575990859
1,2,mol1,4.9476793804435895
1,2,mol2,2.0299328099792624
1,2,mol3,1.8154291135129665
1,2,mol4,2.162928669751914
1,2,mol5,4.869228654818258
1,2,mol6,5.123961845177356
1,2,mol7,1.1180614593313307
1,2,mol8,3.673174120387463
1,2,mol9,6.736414283960189
1,2,mol10,3.2787556590235494
1,2,mol11,3.4365511882762423
1,2,mol12,3.700162785664526
1,2,mol13,2.710443584981695
1,2,mol14,0.46788438367452123
1,2,mol15,1.6880167239287525
1,2,mol16,3.4920917616809564
1,2,mol17,6.043998153587691
1,2,mol18,3.8728052294170436
1,2,mol19,10.01082132915971
1,2,mol20,3.7289968382206307
1,2,mol21,1.0529534126175086
1,2,mol22,1.1674014797831973
1,2,mol23,1.5844676873203072
1,2,mol24,6.182349653991638
1,2,mol25,2.4520113630956115
1,2,mol26,3.960965436514091
1,2,mol27,3.8186768776632567
1,2,mol28,2.323387148992299
1,2,mol29,0.9278417151979849
1,2,mol30,0.9377236995334325
1,2,mol31,1.1933908965427964
1,2,mol32,1.686719545995156
1,2,mol33,4.318835526991044
1,2,mol34,0.8488939561907265
1,2,mol35,4.878578794306603
1,2,mol36,2.813674891464389
1,2,mol37,5.019411797378919
1,2,mol38,1.6778090594581967
1,2,mol39,5.653194685359017
1,2,mol40,5.424000750447695
1,2,mol41,4.6726084056023
1,2,mol42,1.6145177476164272
1,2,mol43,1.4142432956060522
1,2,mol44,2.1465107529772727
1,2,mol45,5.619538853322397
1,2,mol46,5.476944467396704
1,2,mol47,5.913174243239337
1,2,mol48,1.7891046686088814
1,2,mol49,4.156302908882438
1,2,mol50,3.279104604017827
1,2,mol51,2.1253516908412844
1,2,mol52,1.1218231598607684
1,2,mol53,1.5520381298766177
1,2,mol54,2.5755987148622355
1,2,mol55,5.206396413321508
1,2,mol56,1.3126921578382347
1,2,mol57,1.3182881192099096
1,2,mol58,6.389125966783608
1,2,mol59,5.901616541277295
1,2,mol60,3.316991422824441
1,2,mol61,3.146768981693181
1,2,mol62,7.48810007777252
1,2,mol63,5.217561059650043
1,2,mol64,1.013578444724981
1,2,mol65,4.511666623583012
1,2,mol66,1.138380524077955
1,2,mol67,2.34469224139163
1,2,mol68,4.9412038017355355
1,2,mol69,3.751720990029379
1,2,mol70,6.534253121731446
1,2,mol71,2.1224381770568894
1,2,mol72,1.9998699732732623
1,2,mol73,5.6122486260243765
1,2,mol74,0.8406687101909514
1,2,mol75,4.816595911748584
1,2,mol76,0.844405203248255
1,2,mol77,2.500949519076644
1,2,mol79,3.1277752163478754
